V1,V5,V6,V8,V14,V15,V17,V18,V19,V20,V21,V22,Class
212.0,3.0,10.0,2,0,0,2,1,0,26.0,63.0,19,0
252.0,3.0,4.0,2,0,0,1,1,1,25.0,306.0,19,0
238.0,1.0,13.0,2,2,0,1,0,0,290.0,183.0,19,0
256.0,2.0,11.0,2,0,0,2,1,0,1.0,51.0,19,0
231.0,0.0,8.0,2,2,0,2,1,0,64.0,128.0,19,0
257.0,2.0,9.0,2,2,0,1,1,0,1.0,175.0,19,0
89.0,8.0,15.0,2,0,0,0,1,1,358.0,38.0,19,0
90.0,3.0,11.0,2,0,0,2,1,0,187.0,8.0,19,0
269.0,6.0,9.0,2,0,0,2,0,0,54.0,441.0,19,0
253.0,1.0,6.0,2,0,0,0,1,0,3.0,35.0,19,0
188.0,0.0,10.0,2,2,0,1,0,0,64.0,245.0,19,0
312.0,11.0,20.0,2,2,0,2,0,0,249.0,387.0,19,0
238.0,8.0,12.0,2,2,0,2,0,0,297.0,15.0,19,0
293.0,4.0,21.0,2,2,0,2,1,1,171.0,57.0,19,0
96.0,2.0,12.0,2,0,0,2,1,0,345.0,10.0,19,0
281.0,2.0,18.0,2,2,0,2,0,0,12.0,247.0,19,0
205.0,6.0,8.0,2,2,0,1,0,0,46.0,11.0,19,0
262.0,1.0,17.0,2,0,0,2,0,0,16.0,120.0,19,0
209.0,1.0,13.0,2,1,0,0,0,0,293.0,65.0,19,0
211.0,27.0,37.0,2,2,0,2,1,0,207.0,284.0,19,0
398.0,6.0,10.0,2,2,0,1,0,0,197.0,42.0,19,0
233.0,7.0,17.0,2,0,0,1,1,0,283.0,514.0,19,0
92.0,18.0,45.0,2,0,0,0,1,1,341.0,21.0,19,0
65.0,0.0,17.0,2,0,0,1,1,0,395.0,172.0,19,0
247.0,0.0,10.0,2,2,0,0,0,0,202.0,66.0,19,0
89.0,13.0,23.0,2,0,0,2,1,1,357.0,28.0,19,0
245.0,3.0,17.0,2,2,0,2,0,0,57.0,31.0,19,0
288.0,1.0,15.0,2,0,0,2,0,0,29.0,2.0,8,0
188.0,7.0,8.0,2,2,0,2,1,0,171.0,55.0,19,0
282.0,1.0,12.0,2,0,0,2,1,0,192.0,10.0,19,0
432.0,2.0,7.0,2,2,0,0,0,0,123.0,41.0,19,0
98.0,23.0,72.0,2,0,0,1,1,0,372.0,173.0,19,0
74.0,10.0,25.0,2,0,0,2,0,0,326.0,31.0,19,0
285.0,19.0,41.0,2,2,0,2,1,1,138.0,207.0,19,0
275.0,8.0,21.0,2,2,0,2,1,0,294.0,41.0,19,0
103.0,10.0,11.0,2,2,0,2,0,0,335.0,38.0,19,0
231.0,3.0,9.0,2,2,0,2,0,0,64.0,48.0,19,0
267.0,25.0,39.0,2,2,0,2,1,0,180.0,284.0,19,0
212.0,4.0,16.0,2,2,0,2,1,1,95.0,51.0,19,0
76.0,17.0,24.0,2,2,0,1,1,0,347.0,294.0,19,0
275.0,21.0,47.0,2,2,0,2,1,1,287.0,205.0,19,0
303.0,4.0,12.0,2,2,0,2,1,0,5.0,2.0,19,0
90.0,7.0,10.0,2,0,0,0,1,1,189.0,2.0,19,0
239.0,1.0,4.0,2,1,0,1,0,0,1.0,202.0,19,0
307.0,8.0,9.0,2,2,0,2,1,0,47.0,50.0,19,0
283.0,12.0,17.0,2,2,0,2,1,0,31.0,73.0,19,0
227.0,0.0,5.0,2,0,0,0,0,0,33.0,11.0,19,0
91.0,2.0,13.0,2,0,0,1,1,0,348.0,347.0,19,0
115.0,23.0,70.0,2,2,0,1,1,0,394.0,171.0,19,0
194.0,1.0,4.0,2,0,0,1,1,1,14.0,462.0,19,0
249.0,4.0,16.0,2,0,0,2,1,0,144.0,43.0,19,0
91.0,4.0,15.0,2,0,0,2,1,0,353.0,31.0,19,0
89.0,2.0,6.0,2,0,0,1,0,0,354.0,220.0,19,0
93.0,27.0,70.0,2,0,0,1,1,0,371.0,176.0,19,0
388.0,4.0,8.0,2,0,0,2,0,0,165.0,165.0,19,0
95.0,2.0,6.0,2,2,0,2,1,0,402.0,68.0,19,0
238.0,1.0,13.0,2,2,0,2,1,1,291.0,20.0,19,0
242.0,2.0,19.0,2,2,0,1,0,0,1.0,337.0,19,0
256.0,0.0,5.0,2,0,0,2,1,1,37.0,24.0,19,0
180.0,3.0,6.0,2,0,0,2,0,0,242.0,156.0,19,0
244.0,6.0,21.0,2,2,0,1,1,1,98.0,382.0,19,0
117.0,23.0,36.0,2,0,0,2,1,1,327.0,211.0,19,0
257.0,1.0,6.0,2,2,0,1,0,0,2.0,290.0,19,0
180.0,4.0,13.0,2,0,0,2,0,0,236.0,82.0,19,0
246.0,3.0,15.0,2,2,0,0,1,1,7.0,61.0,19,0
394.0,1.0,21.0,2,0,0,2,1,0,188.0,33.0,19,0
191.0,17.0,35.0,2,0,0,2,1,1,214.0,208.0,19,0
104.0,24.0,64.0,2,2,0,1,1,0,372.0,170.0,19,0
131.0,8.0,40.0,2,0,0,2,1,1,301.0,212.0,19,0
264.0,2.0,4.0,2,2,0,1,1,0,2.0,167.0,19,0
83.0,20.0,24.0,2,0,0,2,1,0,375.0,31.0,19,0
280.0,7.0,16.0,2,2,0,2,1,1,6.0,30.0,19,0
248.0,2.0,21.0,2,2,0,2,0,0,1.0,24.0,19,0
220.0,3.0,11.0,2,2,0,1,0,0,79.0,43.0,19,0
196.0,4.0,30.0,2,0,0,1,1,1,105.0,333.0,19,0
512.0,25.0,41.0,2,2,0,2,0,1,199.0,63.0,19,0
63.0,1.0,5.0,2,0,0,2,1,1,402.0,73.0,19,0
289.0,16.0,30.0,2,2,0,1,1,1,61.0,334.0,14,0
90.0,7.0,11.0,2,0,0,2,1,0,190.0,49.0,19,0
206.0,5.0,8.0,2,1,0,1,1,1,35.0,258.0,19,0
246.0,7.0,9.0,2,2,0,0,0,0,8.0,9.0,19,0
315.0,30.0,35.0,2,2,0,2,1,1,226.0,211.0,19,0
208.0,1.0,9.0,2,0,0,2,1,0,4.0,27.0,19,0
240.0,2.0,8.0,2,2,0,2,0,0,176.0,34.0,19,0
167.0,5.0,9.0,2,0,0,2,1,0,65.0,6.0,19,0
280.0,0.0,8.0,2,0,0,1,1,0,69.0,195.0,19,0
80.0,3.0,23.0,2,0,0,2,1,0,404.0,17.0,19,0
77.0,12.0,23.0,2,0,0,2,1,1,378.0,164.0,19,0
220.0,12.0,22.0,2,2,0,2,0,0,84.0,11.0,19,0
253.0,4.0,11.0,2,2,0,2,1,1,94.0,38.0,19,0
351.0,1.0,12.0,2,0,0,2,1,1,220.0,26.0,19,0
257.0,2.0,8.0,2,0,0,2,1,0,101.0,36.0,19,0
229.0,4.0,22.0,2,2,0,2,0,0,11.0,4.0,19,0
238.0,1.0,12.0,2,2,0,0,0,0,297.0,12.0,19,0
576.0,16.0,29.0,0,1,0,2,1,1,48.0,302.0,12,0
101.0,23.0,25.0,2,2,0,2,1,1,378.0,160.0,19,0
289.0,1.0,36.0,2,2,0,2,1,1,191.0,211.0,19,0
192.0,2.0,13.0,2,0,0,2,1,0,221.0,36.0,19,0
251.0,2.0,4.0,2,2,0,0,0,0,33.0,61.0,19,0
772.0,13.0,26.0,0,1,0,2,1,1,105.0,161.0,19,0
99.0,47.0,71.0,2,2,0,1,1,0,395.0,170.0,19,0
198.0,3.0,4.0,2,0,0,2,1,1,153.0,26.0,19,0
232.0,8.0,31.0,2,0,0,1,0,0,24.0,7.0,19,0
92.0,2.0,7.0,2,0,0,2,0,0,341.0,18.0,19,0
90.0,7.0,12.0,2,0,0,2,1,0,190.0,136.0,19,0
265.0,3.0,13.0,2,0,0,2,1,0,214.0,36.0,19,0
